Material;Material desc;Grupo art. Desc;Jerar;NEGOCIO desc;Tipo producto;Familia
2256;"ELECTRODO LINCOLN  E-308 L/16 3/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2257;"ELECTRODO LINCOLN  E-308 L/16 1/8""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2258;"ELECTRODO LINCOLN  E-308 L/16 5/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2261;"ELECTRODO LINCOLN  E-312 L/16 3/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo 
2262;"ELECTRODO LINCOLN  E-312 L/16 1/8""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2265;"ELECTRODO LINCOLN  E-316 L/16 3/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2266;"ELECTRODO LINCOLN  E-316 L/16 1/8""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2267;"ELECTRODO LINCOLN  E-316 L/16 5/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2270;"ELECTRODO LINCOLN  E-309L-16 3/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2271;"ELECTRODO LINCOLN  E-309L-16 1/8""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2272;"ELECTRODO LINCOLN  E-309L-16 5/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2274;"ELECTRODO LINCOLN  E-310-16 3/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2275;"ELECTRODO LINCOLN  E-310-16 1/8""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2276;"ELECTRODO LINCOLN  E-310-16 5/32""";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2282;ELECTRODO GRITEC GRINOX 29 2,50MM;ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2283;ELECTRODO GRITEC GRINOX 29 3,25MM;ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2284;ELECTRODO GRITEC GRINOX 29 4,00MM COL;ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2293;ELECTRODO GRITEC GRINOX 126 G-35 3,25MM;ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2300;ELECTRODO GRITEC GRINOX 210 2,00MM;ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo 
2301;ELECTRODO GRITEC GRINOX 210 2,50MM;ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2302;"ELECTRO.GRINOX 10 1/8"" 3.25MM E316L-16";ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2309;ELECTRODO GRITEC GRITHERM 46 G-21 3,25MM;ACEROS IN;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo 
2312;ELECTRODO GRITEC GRICAST 1 2,50MM;ELECT.RECUB P/F.FUND;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2313;ELECTRODO GRITEC GRICAST 1 3,25MM;ELECT.RECUB P/F.FUND;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2318;ELECTRODO GRITEC GRICAST 31 2,50MM;ELECT.RECUB P/F.FUND;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2319;ELECTRODO GRITEC GRICAST 31 3,25MM;ELECT.RECUB P/F.FUND;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2320;ELECTRODO GRITEC GRICAST 31 4,00MM;ELECT.RECUB P/F.FUND;"	SOLDADURA ESPECECIAL";SOLDADURA Y CORTE;Soldaduras;Electrodo
2338;BUJE CONECTOR MAG LF 74 (K1500-1);ACCESORIOS;"	EQU.Y ACCES.";SOLDADURA Y CORTE;;
2340;ESCOBILLA ACERO C/MANGO 4C FEASIN;GRATAS Y CEPILLOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Escobilla
2341;ESCOBILLA ACERO INOX C/MANGO 4C-IN FAESI;GRATAS Y CEPILLOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Escobilla
2349;"ESCOBILLA P/CALDERA 1"" TS-1 FAESIN";GRATAS Y CEPILLOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Escobilla para caldera
2367;GRATA FAESIN RECTA 4-1/2 1145S60 INOX;GRATAS Y CEPILLOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Grata
2368;GRATA FAESIN REC 4-1/2 1145SH60 C/TUERCA;GRATAS Y CEPILLOS;"	CORTE METALES";SOLDADURA Y CORTE;Abrasivos;Grata
